album_id,artist_id,album_name,album_popularity,releaste_date
2z7uwu9pUc4KAGaDmVmOSD,6i392l38cR3uBPF0DbNs7S,Stripper Bowl,35,2019-06-20
5KUB5SrzL7i7vNlUFd0wXH,6i392l38cR3uBPF0DbNs7S,Leave Em Alone,62,2019-05-29
6GZ1LDBZX4XN0POESyg12X,6i392l38cR3uBPF0DbNs7S,Soakin Wet,32,2019-05-09
1rNVWhM8cdtm8UvRriUALG,6i392l38cR3uBPF0DbNs7S,Fu*k Dat Ni**a,25,2017-12-08
4dWvxwVt6HsU9OFRkjBzsz,6i392l38cR3uBPF0DbNs7S,On Me,45,2017-09-29
0APqzlZMtSH0RbuP17ahNI,6i392l38cR3uBPF0DbNs7S,Too Hotty (feat. Eurielle),27,2017-08-25
16V6bbVjAoPq4Fqff0TBwf,0LyfQWJT6nXafLPZqxe9Of,Kill Streak,32,2019-11-04
49qtFexRSVY48nI1b0DRdf,0LyfQWJT6nXafLPZqxe9Of,ATL Hip Hop Bangers,31,2019-10-18
6qpexn9C8OZof3fKj3iUu3,0LyfQWJT6nXafLPZqxe9Of,Naughty Bops,39,2019-10-04
43hkpkG0td7h54eq39Zcm9,0LyfQWJT6nXafLPZqxe9Of,Hip Hop Cardio,39,2019-08-23
2mpr4BrCt9uJlEyxgtl3Hj,6tQmUQ1aBbgQwEqXFjVwB6,Ain't Nuthin,10,2019-08-14
0rGh0vDWT69oIUvSd8doHJ,24TysayU0G7Wp3v85zpOmL,Bait,7,2019-08-14
0zicd2mBV8HTzSubByj4vP,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2 (Deluxe),73,2017-11-17
733e1ZfktLSwj96X5rsMeE,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2,81,2017-08-25
6LX75kNicFqjjiAOeZgN67,4O15NlyKLIASxsJ0PrXPfz,The Perfect LUV Tape,71,2016-08-10
7mgdTKTCdfnLoa1HXHvLYM,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert vs. The World,74,2016-05-27
5WrbKW1nRN4vSsu70uizxX,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage,67,2015-12-18
5UL4JeebFRM3CwLfk7ZAlh,0Cu32uCaqDJYQADOev92Et,Show U Off (feat. Lil Uzi Vert),42,2019-04-26
2WyjmS6PEAE2V9oh5So588,0Cu32uCaqDJYQADOev92Et,Show U Off (feat. Lil Uzi Vert),47,2019-04-26
49K82qcZN4u109e6Zw8io1,4O15NlyKLIASxsJ0PrXPfz,Sanguine Paradise,74,2019-04-09
7jV7IRYpTLmTJe7uZXZCZh,4O15NlyKLIASxsJ0PrXPfz,That's a Rack,66,2019-04-09
1BMfByaGjaWoSraUSfCQQh,5olrQpDroHT7sjmYWMLivy,420 in London,47,2018-10-02
